gun,ay,tavg,yagis_turu
16,5,26.4,0
21,7,27.5,0
22,7,27.9,0
23,7,26.4,0
24,7,22.9,0
25,7,24.3,0
26,7,25.8,0
27,7,22.9,0
28,7,24.5,0
29,7,23.8,0
30,7,25.4,0
31,7,25.7,0
1,8,26.7,0
2,8,27.2,0
3,8,26.3,0
4,8,26.6,0
5,8,26.7,0
6,8,26.9,0
7,8,27.3,0
8,8,27.3,0
9,8,26.4,0
10,8,25.2,0
11,8,24.4,0
12,8,24.5,0
13,8,24.7,0
14,8,25.2,0
15,8,26.0,0
16,8,27.2,0
17,8,27.8,0
18,8,27.5,0
19,8,27.8,0
20,8,26.3,0
21,8,24.6,0
22,8,26.0,0
23,8,26.0,0
24,8,26.0,0
25,8,26.4,0
26,8,26.4,0
27,8,26.4,0
28,8,26.1,0
29,8,27.1,0
30,8,27.5,0
31,8,27.3,0
1,9,27.4,0
2,9,27.8,0
3,9,26.8,0
4,9,25.8,0
5,9,22.8,0
6,9,23.0,0
7,9,24.9,0
8,9,24.6,0
9,9,23.4,0
10,9,21.9,0
11,9,21.9,0
12,9,20.2,0
13,9,21.1,0
14,9,22.6,0
15,9,24.0,0
16,9,25.5,0
17,9,22.5,0
18,9,20.9,0
19,9,22.6,0
20,9,20.7,0
21,9,22.6,0
22,9,22.1,0
23,9,23.1,0
24,9,24.3,0
25,9,16.0,0
26,9,13.5,0
27,9,14.5,0
28,9,15.9,0
29,9,15.5,0
30,9,13.6,0
1,10,15.0,0
2,10,22.1,1
3,10,20.8,0
4,10,18.4,0
5,10,15.9,0
6,10,15.8,0
7,10,20.5,0
8,10,20.2,0
9,10,17.4,0
10,10,16.4,0
11,10,18.3,0
12,10,17.0,0
13,10,18.4,1
14,10,17.4,0
15,10,15.3,0
16,10,16.8,0
17,10,14.8,0
18,10,17.0,0
19,10,17.0,0
20,10,15.9,0
21,10,16.0,0
22,10,15.3,0
23,10,14.0,0
24,10,13.9,0
25,10,11.3,0
26,10,10.5,0
27,10,14.9,0
28,10,17.3,0
29,10,17.9,0
30,10,17.7,0
31,10,17.6,0
1,11,17.5,0
2,11,16.5,0
3,11,14.9,0
4,11,15.1,0
5,11,12.4,0
6,11,13.2,0
7,11,14.2,0
8,11,11.7,0
9,11,12.7,0
10,11,13.2,0
11,11,12.3,0
12,11,12.2,0
13,11,12.0,0
14,11,10.3,0
15,11,9.6,0
16,11,5.7,0
17,11,4.0,0
18,11,6.9,0
19,11,8.2,0
20,11,7.8,0
21,11,11.2,0
22,11,7.2,0
23,11,6.0,0
24,11,4.8,0
25,11,6.4,0
26,11,12.2,0
27,11,13.4,0
28,11,6.6,0
29,11,-0.4,0
30,11,-0.6,0
1,12,-0.5,0
2,12,1.4,0
3,12,4.0,0
4,12,6.7,0
5,12,7.4,0
6,12,3.5,0
7,12,0.6,0
8,12,2.6,0
9,12,4.3,0
10,12,4.1,0
11,12,6.3,0
12,12,4.6,0
13,12,1.9,0
14,12,3.7,0
15,12,7.0,0
16,12,11.0,0
17,12,6.4,0
18,12,3.0,0
19,12,0.3,0
20,12,0.9,0
21,12,1.3,0
22,12,3.5,0
23,12,7.5,0
24,12,8.9,0
25,12,5.4,0
26,12,1.5,0
27,12,2.3,0
28,12,2.5,0
29,12,4.6,0
30,12,5.0,0
31,12,4.5,0
1,1,4.3,0
2,1,3.0,0
3,1,3.7,0
4,1,1.0,0
5,1,-1.6,0
6,1,-2.6,0
7,1,-1.6,0
8,1,-3.2,0
9,1,-1.2,0
10,1,4.2,0
11,1,4.1,0
12,1,1.6,0
13,1,0.5,0
14,1,2.6,0
15,1,3.5,0
16,1,2.8,0
17,1,4.8,0
18,1,5.3,0
19,1,5.3,0
20,1,7.5,0
21,1,7.7,0
22,1,4.9,0
23,1,8.3,0
24,1,9.6,0
25,1,9.1,0
26,1,9.6,0
27,1,5.7,0
28,1,8.5,0
29,1,12.1,0
30,1,11.7,0
31,1,10.3,0
1,2,9.2,0
2,2,10.0,0
3,2,13.1,0
4,2,12.6,0
5,2,10.7,0
6,2,5.5,0
7,2,4.1,0
8,2,4.4,0
9,2,4.3,0
10,2,4.2,0
11,2,8.8,0
12,2,9.3,0
13,2,4.5,0
14,2,4.7,0
15,2,4.3,0
16,2,4.6,0
17,2,5.3,0
18,2,7.2,0
19,2,7.7,0
20,2,8.1,0
21,2,9.2,0
22,2,6.6,0
23,2,-1.3,0
24,2,-2.1,0
25,2,0.1,0
26,2,4.2,0
27,2,5.4,0
28,2,7.2,0
1,3,9.6,0
2,3,8.8,0
3,3,6.8,0
4,3,6.1,0
5,3,10.4,0
6,3,13.1,0
7,3,11.6,0
8,3,13.0,0
9,3,14.1,0
10,3,13.4,0
11,3,14.5,0
12,3,8.3,0
13,3,6.6,1
14,3,5.9,0
15,3,8.2,0
16,3,9.5,0
17,3,14.2,0
18,3,15.1,0
19,3,15.2,0
20,3,12.7,0
21,3,12.6,0
22,3,11.3,0
23,3,12.0,0
24,3,10.5,0
25,3,10.1,0
26,3,11.9,0
27,3,11.7,0
28,3,9.7,0
29,3,7.3,0
30,3,8.8,0
31,3,11.2,0
1,4,12.9,0
2,4,12.5,0
3,4,9.6,0
4,4,9.0,0
5,4,10.7,0
6,4,11.5,0
7,4,11.6,0
8,4,15.0,0
9,4,14.3,0
10,4,12.9,0
11,4,12.9,0
12,4,13.1,0
13,4,13.9,0
14,4,11.3,0
15,4,11.0,0
16,4,10.7,0
17,4,12.0,0
18,4,10.6,0
19,4,10.5,0
20,4,9.7,0
21,4,11.3,0
22,4,12.3,0
23,4,12.3,0
24,4,15.9,0
25,4,17.4,0
26,4,18.5,0
27,4,18.6,0
28,4,19.3,0
29,4,18.1,0
30,4,18.6,0
1,5,17.3,0
2,5,15.4,0
3,5,16.9,0
4,5,17.8,0
5,5,18.2,0
6,5,19.6,0
7,5,13.4,0
8,5,12.7,0
9,5,14.2,0
10,5,15.0,0
11,5,17.5,0
12,5,18.5,0
13,5,18.0,0
14,5,16.3,0
15,5,18.5,0
16,5,20.0,0
17,5,18.4,0
18,5,21.6,0
19,5,21.9,0
20,5,22.0,0
21,5,21.9,0
22,5,20.8,0
23,5,20.7,0
24,5,18.0,0
25,5,20.1,0
26,5,21.6,0
27,5,22.5,0
28,5,23.5,0
29,5,23.6,0
30,5,23.6,0
31,5,23.5,0
1,6,21.5,0
2,6,21.4,0
3,6,20.7,0
4,6,20.3,0
5,6,21.4,0
6,6,22.5,0
7,6,24.6,0
8,6,26.4,0
9,6,24.1,0
